1,4,1-1,校園走透透
1,4,1-2,顯微鏡的使用
1,4,1-3,動、植物細胞的觀察
2,2,2-1,生活在水中的小生物
2,2,2-2,空氣對水耕植物的影響
3,5,3-1,光合作用的產物與影響光合作用的因素
3,5,3-2,植物體內的水分如何運輸
4,3,4-1,唾液對澱粉的影響
4,3,4-2,探測心音和脈搏
4,3,4-3,血液流動的觀察
5,4,5-1,人體的感覺與感覺疲勞
5,4,5-2,反應時間的測定
6,6,6-1,探測人體呼出的氣體成分
6,6,6-2,探測植物種子呼吸作用產生的氣體成分
1,3,1-1,蛋的構造觀察
1,3,1-2,花花世界──探索花的構造
1,3,1-3,植物營養器官的繁殖
2,5,2-1,基本遺傳法則的模擬活動
2,5,2-2,超級比一比
3,3,3-1,蛾體色的演化
4,6,4-1,檢索表的製作
4,6,4-2,動物的分類
5,5,5-1,捉放法的演練
5,5,5-2,食物網
1,3,1-1,校園走透透
2,4,2-1,顯微鏡的使用
2,4,2-2,動、植物細胞的觀察
2,4,2-3,觀察水中的小生物
3,4,3-1,食物中澱粉與糖的測定
3,4,3-2,酵素的作用
3,4,3-3,探討日光對光合作用的影響
4,4,4-1,植物體內水分如何運輸
4,4,4-2,血液流動的觀察
4,4,4-3,探測心音和脈搏
5,4,5-1,人體的感覺與感覺疲勞
5,4,5-2,反應時間的測定
6,7,6-1,探測人體呼出的氣體成分
6,7,6-2,探測植物種子呼吸作用產生的氣體成分
2,4,2-1,顯微鏡的使用
2,4,2-2,動、植物細胞的觀察
2,4,2-3,觀察水中的小生物
3,4,3-1,食物中澱粉與糖的測定
3,4,3-2,酵素的作用
3,4,3-3,探討日光對光合作用的影響
4,4,4-1,植物體內水分如何運輸
4,4,4-2,血液流動的觀察
4,4,4-3,探測心音和脈搏
5,4,5-1,人體的感覺與感覺疲勞
5,4,5-2,反應時間的測定
6,7,6-1,探測人體呼出的氣體成分
6,7,6-2,探測植物種子的呼吸作用產生的氣體成分
1,3,1-1,植物營養器官的繁殖
1,3,1-2,蛋的構造觀察
1,3,1-3,花花世界──探索花的構造
2,5,2-1,超級比一比
2,5,2-2,遺傳機率的模擬
3,3,3-1,蛾體色的演化
4,6,4-1,外星人來訪
4,6,4-2,蕨類的觀察
5,4,5-1,族群大小的估算演練
2,4,2-1,顯微鏡的使用
2,4,2-2,動、植物細胞的觀察
2,4,2-3,觀察水中的小生物
3,4,3-1,食物中澱粉與糖的測定
3,4,3-2,酵素的作用
3,4,3-3,探討日光對光合作用的影響
4,4,4-1,植物體內水分如何運輸
4,4,4-2,血液流動的觀察
4,4,4-3,探測心搏和脈搏
5,4,5-1,人體的感覺與感覺疲勞
5,4,5-2,反應時間的測定
6,7,6-1,人體呼出氣體的檢測
1,3,1-1,植物營養器官的繁殖
1,3,1-2,觀察卵細胞
1,3,1-3,探索花的構造
2,5,2-1,超級比一比
2,5,2-2,人類血型遺傳機率的模擬
3,3,3-1,蛾體色的演化
4,6,4-1,檢索表的認識與應用
4,6,4-2,蕨類的觀察
5,4,5-1,族群大小的估算演練
1,3,1-1,觀察生物的工具
1,3,1-2,細胞的觀察
2,2,2-1,物質進出細胞的觀察
3,4,3-1,食物中澱粉與糖的測定
3,4,3-2,酵素的作用
3,4,3-3,光合作用的變因之探討
4,3,4-1,觀察植物體內的維管束
4,3,4-2,血液流動的觀察
4,3,4-3,探測心音和脈搏
5,3,5-1,人體的感覺與感覺疲勞
5,3,5-2,反應時間的測定
5,3,5-3,土壤水分對氣孔開閉的影響
6,4,6-1,人體呼出氣體的檢測
1,3,1-1,植物營養器官的繁殖
1,3,1-2,觀察卵細胞
1,3,1-3,探索花的構造
2,5,2-1,超級比一比
2,5,2-2,人類血型遺傳機率的模擬
3,6,3-1,檢索表的製作
3,6,3-2,蕨類的觀察
4,5,4-1,族群大小的估算演練
1,4,1-1,觀察生物的工具
1,4,1-2,細胞的觀察
2,2,2-1,物質進出細胞的觀察
3,4,3-1,食物中澱粉與糖的測定
3,4,3-2,酵素的作用
3,4,3-3,光合作用的變因之探討
4,3,4-1,觀察植物體內的維管束
4,3,4-2,血液流動的觀察
4,3,4-3,探測心音和脈搏
5,3,5-1,人體的感覺與感覺疲勞
5,3,5-2,反應時間的測定
5,3,5-3,土壤水分對氣孔開閉的影響
6,4,6-1,人體呼出氣體的檢測
1,3,1-1,植物營養器官的繁殖
1,3,1-2,觀察卵細胞
1,3,1-3,探索花的構造
2,5,2-1,超級比一比
2,5,2-2,人類血型遺傳機率的模擬
3,6,3-1,檢索表的製作
3,6,3-2,蕨類的觀察
4,5,4-1,族群大小的估算演練
